"","fold0","fold1","fold2"
"CHEMBL1614492",0.505848,0.4283333,0.5333333
"CHEMBL2363716",0.6092437,0.6944444,0.5568627
"CHEMBL1243972",0.5443038,0.4173913,0.71875
"CHEMBL1614053",0.5906085,0.6041667,0.5229167
"CHEMBL829401",0.5526316,0.9318182,0.6936937
"CHEMBL2363167",0.6468254,0.6256158,0.6396761
"CHEMBL2363592",0.5449735,0.6197479,0.6587302
"CHEMBL2363599",0.7049689,0.6650124,0.7878788
"CHEMBL1613942",0.4643963,0.6006944,0.6823529
"CHEMBL1614463",0.5596591,0.5689655,0.3958333
"CHEMBL1614132",0.5019481,0.4850543,0.5238095
"CHEMBL2363633",0.584127,0.6482213,0.3990385
"CHEMBL1963934",0.6336207,0.6153846,0.6451613
"CHEMBL2363557",0.73,0.7852564,0.6801471
"CHEMBL1614283",0.7554945,0.6642012,0.6519608
"CHEMBL1614548",0.7939815,0.7113095,0.9204545
"CHEMBL2363458",0.7623188,0.7018182,0.7826087
"CHEMBL2354217",0.6055646,0.6416667,0.4006211
"CHEMBL1738633",0.3617021,0.3555556,0.35
"CHEMBL1613950",0.4816919,0.6120401,0.6041667
"CHEMBL2114928",0.4780702,0.5078431,0.458221
"CHEMBL2363385",0.6973684,0.6845238,0.6092437
"CHEMBL1614066",0.2571429,0.890625,0.6333333
"CHEMBL1614109",0.7727273,0.7307692,0.59
"CHEMBL1737868",0.6317829,0.7297009,0.6863636
"CHEMBL1614477",0.6529605,0.4887821,0.5022222
"CHEMBL1794460",0.6031746,0.5373932,0.7185501
"CHEMBL1614197",0.4932432,0.18,0.8076923
"CHEMBL2354228",0.8205311,0.6666667,0.8201754
"CHEMBL1737978",0.5185185,0.5463108,0.5853659
"CHEMBL2363383",0.6533333,0.697318,0.7
"CHEMBL2363656",0.6538462,0.7410714,0.6467391
"CHEMBL1614225",0.5773956,0.6953125,0.6315789
"CHEMBL1738400",0.8225108,0.9651163,0.8731061
"CHEMBL1738679",0.5032895,0.4982456,0.4315789
"CHEMBL1738043",0.5532213,0.7058574,0.7204301
"CHEMBL1738202",0.826087,0.9363636,1
"CHEMBL1614550",0.3857143,0.5220126,0.3446809
"CHEMBL2363390",0.7257525,0.75,0.7175926
"CHEMBL1737977",0.5857143,0.6277778,0.7789474
"CHEMBL2114823",0.4555556,0.5956522,0.4931973
"CHEMBL1243978",0.5721248,0.6319444,0.6666667
"CHEMBL2363839",0.6138889,0.7725,0.5803571
"CHEMBL1243969",0.603125,0.752381,0.75
"CHEMBL3215034",0.6206897,0.526936,0.6186667
"CHEMBL914418",0.9972222,0.8653061,0.9047619
"CHEMBL1738197",0.3984674,0.5091463,0.6344444
"CHEMBL698689",0.8966667,0.7692308,1
"CHEMBL2363707",0.5934066,0.6941176,0.6615385
"CHEMBL2363795",0.50625,0.6345029,0.6626984
"CHEMBL3215176",0.8136364,0.5972222,0.9782609
"CHEMBL1614329",0.712605,0.8247126,0.7373737
"CHEMBL1676103",0.9236111,0.8430335,0.8551724
"CHEMBL3214997",0.5360577,0.4018868,0.468661
"CHEMBL2363695",0.4473684,0.6676471,0.6888889
"CHEMBL1794393",0.9054581,0.8128205,0.7809388
"CHEMBL1243975",0.6570584,0.775,0.825
"CHEMBL830839",1,1,1
"CHEMBL2363315",0.7824675,0.7884615,0.5745614
"CHEMBL1614117",0.7105263,0.4895833,0.5555556
"CHEMBL1737951",0.86875,0.7526596,0.8476562
"CHEMBL1614065",0.6965517,0.6533333,0.7366667
"CHEMBL1614393",0.6166667,0.6006944,0.6440972
"CHEMBL1613907",0.6727273,0.5721154,0.5294118
"CHEMBL1964010",0.638009,0.5267797,0.5
"CHEMBL2098499",0.4853801,0.5718391,0.5591837
"CHEMBL1963940",0.9505208,0.8541667,0.9261905
"CHEMBL2363737",0.5733333,0.6657895,0.5363636
"CHEMBL641707",0.8307292,1,0.95
"CHEMBL653167",0.7,0.9787234,0.9868421
"CHEMBL2303649",0.74,0.6666667,0.9166667
"CHEMBL830842",0.5394737,0.9393939,0.8468468
"CHEMBL1963930",0.6785714,0.95,0.9532164
"CHEMBL3215006",0.7666667,0.7346667,0.603022
"CHEMBL1614215",0.4747024,0.4011364,0.4208696
"CHEMBL1963813",0.7113095,0.8284314,0.7792398
"CHEMBL2114839",0.5958333,0.7128,0.7789855
"CHEMBL1738362",0.7008547,0.7272727,0.7285714
"CHEMBL2114742",0.5914286,0.697861,0.5697941
"CHEMBL1613897",0.7287018,0.7367021,0.6376518
"CHEMBL1614092",0.4902256,0.51,0.6133333
"CHEMBL2354305",0.538,0.5527273,0.4591837
"CHEMBL1738319",0.789011,0.6960486,0.7173524
"CHEMBL1034533",0.9817073,1,0.9408867
"CHEMBL2363573",0.8196078,0.85,0.6734694
"CHEMBL1243970",0.7224138,0.8578947,0.9206349
"CHEMBL1738080",0.8095238,0.8730159,0.8235294
"CHEMBL3214958",0.5052632,0.5119048,0.527619
"CHEMBL1613871",0.5827586,0.8017241,0.5625
"CHEMBL2114863",0.5500795,0.4833333,0.7205882
"CHEMBL1614509",0.7596154,0.7261905,0.5686275
"CHEMBL1613785",0.5665484,0.6629881,0.5288462
"CHEMBL1738430",0.5218295,0.5798289,0.4522145
"CHEMBL1243977",0.5919384,0.6705882,0.8333333
"CHEMBL1738019",0.6863905,0.6979798,0.6666667
"CHEMBL1738091",0.745283,0.6277778,0.4964286
"CHEMBL1614309",0.5384615,0.5262308,0.4195906
"CHEMBL1963968",0.6853002,0.6043011,0.6357466
"CHEMBL1243968",0.6236264,0.7259259,1
"CHEMBL1963898",0.525641,0.528536,0.5284314
"CHEMBL1614319",0.5819549,0.5242424,0.5166667
"CHEMBL1738602",0.4,0.3939394,0.4437603
"CHEMBL681296",0.75,0.75,0.5
"CHEMBL3214794",0.6383187,0.7177778,0.7496392
"CHEMBL2114844",0.5908537,0.5557963,0.5536562
"CHEMBL1794484",0.4512885,0.4827586,0.6041667
