"","fold0","fold1","fold2"
"CHEMBL1614216",0.6176176176,0.5862068966,0.6020408163
"CHEMBL2363644",0.4345238095,0.4636015326,0.5454545455
"CHEMBL2363166",0.4805555556,0.486013986,0.6474358974
"CHEMBL2363446",0.6360294118,0.3821428571,0.5429864253
"CHEMBL2363470",0.5416666667,0.4612244898,0.65
"CHEMBL1613814",0.3773913043,0.6206896552,0.4596153846
"CHEMBL2363645",0.7045454545,0.4835164835,0.7401960784
"CHEMBL1738021",0.5214285714,0.6976744186,0.50625
"CHEMBL2363516",0.6472727273,0.3573667712,0.55
"CHEMBL1614147",0.6279069767,0.48,0.6666666667
"CHEMBL2363492",0.494047619,0.2807017544,0.4761904762
"CHEMBL2363696",0.4901960784,0.4087301587,0.6349206349
"CHEMBL1614486",0.5758928571,0.6363636364,0.7746031746
"CHEMBL2363847",0.6468531469,0.4662756598,0.6157407407
"CHEMBL2363719",0.575,0.3125,0.6212121212
"CHEMBL2363634",0.640625,0.4526315789,0.6074074074
"CHEMBL2363569",0.6526315789,0.4986149584,0.5541666667
"CHEMBL2363294",0.6701754386,0.4194444444,0.7232142857
"CHEMBL2363616",0.5441176471,0.5106951872,0.6302521008
"CHEMBL2363601",0.7058823529,0.5386363636,0.6071428571
"CHEMBL2363514",0.6266666667,0.4722222222,0.594017094
"CHEMBL2363748",0.5111111111,0.4979423868,0.5307692308
"CHEMBL2363747",0.5892857143,0.4403409091,0.6192307692
"CHEMBL2363457",0.7079365079,0.4937888199,0.7008928571
"CHEMBL1613949",0.6037037037,0.4981684982,0.5595611285
"CHEMBL2363767",0.5864661654,0.4387755102,0.6868131868
"CHEMBL2363793",0.7,0.3076923077,0.6411764706
"CHEMBL2363692",0.5333333333,0.4352941176,0.6383928571
"CHEMBL2363639",0.6102941176,0.3989769821,0.6727941176
"CHEMBL2363421",0.4930875576,0.4923076923,0.8115942029
"CHEMBL2363313",0.6791666667,0.5029761905,0.6493506494
"CHEMBL2363798",0.5545454545,0.2928571429,0.6877828054
"CHEMBL2363272",0.6791666667,0.2960526316,0.6476190476
"CHEMBL2363447",0.6703296703,0.4120879121,0.5974025974
"CHEMBL2363749",0.6911764706,0.3746130031,0.7135416667
"CHEMBL1738438",0.2909090909,0.8372093023,0.4651162791
"CHEMBL2114847",0.5945121951,0.4755555556,0.6862745098
"CHEMBL2363388",0.649122807,0.2945454545,0.7058823529
"CHEMBL1614035",0.6060606061,0.7566137566,0.6041666667
"CHEMBL2363830",0.5263157895,0.2261904762,0.5772727273
"CHEMBL2363255",0.6739130435,0.2448979592,0.6333333333
"CHEMBL2363562",0.5592105263,0.4334365325,0.7083333333
"CHEMBL2363335",0.6227106227,0.3923611111,0.7685185185
"CHEMBL2363338",0.7,0.3585858586,0.6380952381
"CHEMBL1614395",0.6481481481,0.6984848485,0.3802197802
"CHEMBL2363334",0.5362318841,0.365497076,0.6354166667
"CHEMBL1614007",0.6648648649,0.6911764706,0.7272727273
"CHEMBL1614049",0.5772357724,0.5231866825,0.6168582375
"CHEMBL1034535",0.4595959596,0.7375,0.7246376812
"CHEMBL1613853",0.5859375,0.6273291925,0.5205882353
"CHEMBL1614138",0.6273148148,0.4041666667,0.5803571429
"CHEMBL2363814",0.7218045113,0.3320158103,0.6
"CHEMBL2363245",0.6227272727,0.3846153846,0.675
"CHEMBL2363349",0.5535714286,0.4102564103,0.6805555556
"CHEMBL2363794",0.6079545455,0.3846153846,0.6107142857
"CHEMBL856174",0.8648648649,0.0793650794,0.8
"CHEMBL1964005",0.7897435897,0.6754385965,0.7068965517
"CHEMBL1963983",0.68,0.5956790123,0.5352941176
"CHEMBL2363215",0.574829932,0.3881118881,0.665158371
"CHEMBL1613890",0.5388888889,0.5906432749,0.6675191816
"CHEMBL1614363",0.5941176471,0.9185185185,0.5554511278
"CHEMBL1022010",0.75,0.7419354839,0.3787878788
"CHEMBL1613962",0.3701298701,0.3920765027,0.65
"CHEMBL1614244",0.4027777778,0.4473684211,0.4116666667
"CHEMBL2363764",0.6543778802,0.3887147335,0.5568181818
"CHEMBL1614405",0.6857142857,0.6666666667,0.7272727273
"CHEMBL1613926",0.5797101449,0.468,0.575
"CHEMBL1614492",0.5716374269,0.61,0.6577777778
"CHEMBL2363716",0.6344537815,0.3923611111,0.6431372549
"CHEMBL1243972",0.6898734177,0.6347826087,0.5625
"CHEMBL1614053",0.6203703704,0.59375,0.5791666667
"CHEMBL829401",0.8289473684,0.4583333333,0.9009009009
"CHEMBL2363167",0.5277777778,0.2857142857,0.7773279352
"CHEMBL2363592",0.6375661376,0.3424369748,0.626984127
"CHEMBL2363599",0.6335403727,0.4143920596,0.5871212121
"CHEMBL1613942",0.5665634675,0.6892361111,0.7411764706
"CHEMBL1614463",0.5085227273,0.4157088123,0.4259259259
"CHEMBL1614132",0.5805194805,0.6657608696,0.65625
"CHEMBL2363633",0.7111111111,0.3833992095,0.6538461538
"CHEMBL1963934",0.5603448276,0.4615384615,0.6935483871
"CHEMBL2363557",0.7233333333,0.4775641026,0.7683823529
"CHEMBL1614283",0.5604395604,0.6686390533,0.3431372549
"CHEMBL1614548",0.6064814815,0.3943452381,0.6590909091
"CHEMBL2363458",0.4985507246,0.3890909091,0.5968379447
"CHEMBL2354217",0.4664484452,0.8097222222,0.5621118012
"CHEMBL1738633",0.914893617,0.3222222222,0.8266666667
"CHEMBL1613950",0.6717171717,0.5668896321,0.55625
"CHEMBL2114928",0.3771929825,0.662745098,0.5363881402
"CHEMBL2363385",0.6578947368,0.3422619048,0.7058823529
"CHEMBL1614066",0.1857142857,0.75,0.4
"CHEMBL1614109",0.5575757576,0.674556213,0.4416666667
"CHEMBL1737868",0.5465116279,0.5918803419,0.3863636364
"CHEMBL1614477",0.5888157895,0.5144230769,0.6688888889
"CHEMBL1794460",0.4861111111,0.625,0.5975479744
"CHEMBL1614197",0.6824324324,0.34,0.6923076923
"CHEMBL2354228",0.5519203414,0.3537037037,0.3947368421
"CHEMBL1737978",0.562962963,0.4599686028,0.4767184035
"CHEMBL2363383",0.6488888889,0.5325670498,0.6545454545
"CHEMBL2363656",0.6538461538,0.4196428571,0.625
"CHEMBL1614225",0.3746928747,0.4557291667,0.5052631579
"CHEMBL1738400",0.6060606061,0.7412790698,0.6041666667
"CHEMBL1738679",0.5921052632,0.6666666667,0.4236842105
"CHEMBL1738043",0.6330532213,0.5925297114,0.7
"CHEMBL1738202",0.9130434783,0.7818181818,0.5657894737
"CHEMBL1614550",0.4321428571,0.465408805,0.4510638298
"CHEMBL2363390",0.6956521739,0.425,0.587962963
"CHEMBL1737977",0.6666666667,0.5527777778,0.5263157895
"CHEMBL2114823",0.6511111111,0.6188405797,0.4421768707
"CHEMBL1243978",0.6471734893,0.6736111111,0.5303030303
"CHEMBL2363839",0.6972222222,0.4525,0.7053571429
"CHEMBL1243969",0.621875,0.8285714286,0.675
"CHEMBL3215034",0.5842911877,0.5656565657,0.5893333333
"CHEMBL914418",0.7555555556,0.8571428571,1
"CHEMBL1738197",0.5210727969,0.568815331,0.6944444444
"CHEMBL698689",0.9433333333,0.6923076923,0.8461538462
"CHEMBL2363707",0.5677655678,0.2823529412,0.6307692308
"CHEMBL2363795",0.6375,0.4649122807,0.6626984127
"CHEMBL3215176",0.5636363636,0.6574074074,0.7554347826
"CHEMBL1614329",0.5193277311,0.5431034483,0.5252525253
"CHEMBL1676103",0.4826388889,0.6754850088,0.324137931
"CHEMBL3214997",0.5625,0.479245283,0.5968660969
"CHEMBL2363695",0.5730994152,0.4235294118,0.7
"CHEMBL1794393",0.7621832359,0.6243589744,0.6856330014
"CHEMBL1243975",0.637841833,0.7666666667,0.725
"CHEMBL830839",0.8148148148,0.9807692308,1
"CHEMBL2363315",0.6461038961,0.4203296703,0.6052631579
"CHEMBL1614117",0.5986842105,0.6770833333,0.6296296296
"CHEMBL1737951",0.76875,0.676713948,0.690625
"CHEMBL1614065",0.424137931,0.52,0.5366666667
"CHEMBL1614393",0.6083333333,0.546875,0.5590277778
