"","fold0","fold1","fold2"
"CHEMBL1614503",0.6129032258,0.4115226337,0.5883838384
"CHEMBL2363389",0.6160714286,0.5014492754,0.431372549
"CHEMBL2363477",0.7361111111,0.5979020979,0.7403508772
"CHEMBL2363834",0.6984126984,0.5909090909,0.6359649123
"CHEMBL1794367",0.7660714286,0.65,0.8094117647
"CHEMBL2363440",0.6698412698,0.7386363636,0.4761904762
"CHEMBL2363363",0.5666666667,0.5595567867,0.5458333333
"CHEMBL2363369",0.4473684211,0.5798611111,0.5
"CHEMBL2363435",0.7227272727,0.6454545455,0.7696078431
"CHEMBL2363223",0.4743589744,0.5492063492,0.6042780749
"CHEMBL2363851",0.7716049383,0.5729166667,0.7142857143
"CHEMBL2363575",0.6431372549,0.5263157895,0.5210084034
"CHEMBL2363443",0.6527777778,0.6161616162,0.625
"CHEMBL2363273",0.6319444444,0.5892255892,0.6
"CHEMBL2363655",0.4572649573,0.6123188406,0.6524064171
"CHEMBL2363242",0.6740740741,0.6472222222,0.725
"CHEMBL2363367",0.5782608696,0.5811688312,0.4917355372
"CHEMBL2363561",0.6937799043,0.5772727273,0.7375
"CHEMBL2363771",0.7333333333,0.630952381,0.6805555556
"CHEMBL2363238",0.6993464052,0.5805555556,0.7458333333
"CHEMBL1613904",0.6055900621,0.5789473684,0.5714285714
"CHEMBL2363507",0.7453703704,0.5384615385,0.5714285714
"CHEMBL2363727",0.4375,0.5714285714,0.7087719298
"CHEMBL2363480",0.7115384615,0.65,0.7058823529
"CHEMBL2363187",0.5260869565,0.4782608696,0.6785714286
"CHEMBL2363659",0.7307692308,0.7208333333,0.756302521
"CHEMBL2363327",0.6764705882,0.65,0.6632653061
"CHEMBL2363154",0.5416666667,0.3536585366,0.564516129
"CHEMBL2363469",0.6127819549,0.6140350877,0.5571428571
"CHEMBL2363275",0.6424242424,0.5476190476,0.5291666667
"CHEMBL2363248",0.5845588235,0.5705128205,0.6714285714
"CHEMBL2363374",0.6636904762,0.6588541667,0.6682692308
"CHEMBL2363397",0.5863636364,0.5709876543,0.7863247863
"CHEMBL2363811",0.6105769231,0.5172413793,0.7444444444
"CHEMBL2363208",0.5978835979,0.5583333333,0.5444444444
"CHEMBL2363212",0.6203703704,0.6111111111,0.51
"CHEMBL2363373",0.6321070234,0.6805555556,0.6606334842
"CHEMBL2363657",0.4488636364,0.4798534799,0.6558704453
"CHEMBL2363160",0.6333333333,0.5890909091,0.5947368421
"CHEMBL2363846",0.7066666667,0.5615942029,0.4583333333
"CHEMBL3215276",0.6597222222,0.4868421053,0.6184210526
"CHEMBL2363740",0.7556818182,0.700617284,0.6818181818
"CHEMBL2363218",0.6346749226,0.446875,0.6296296296
"CHEMBL2363224",0.6507936508,0.4588235294,0.5087719298
"CHEMBL2363529",0.8355555556,0.6151515152,0.7238095238
"CHEMBL2363713",0.6369047619,0.608974359,0.78125
"CHEMBL2363820",0.6215277778,0.6342105263,0.6367521368
"CHEMBL2363314",0.6775362319,0.6992753623,0.8528138528
"CHEMBL2363635",0.6326530612,0.684729064,0.7448559671
"CHEMBL2363352",0.5317725753,0.6575,0.7243589744
"CHEMBL2363631",0.6284722222,0.6208333333,0.7794871795
"CHEMBL2363221",0.7163461538,0.7297979798,0.5777777778
"CHEMBL2363178",0.6884615385,0.7,0.595959596
"CHEMBL2363546",0.7222222222,0.5978835979,0.6638655462
"CHEMBL2363343",0.7470355731,0.7622377622,0.7047619048
"CHEMBL2363210",0.6284722222,0.4937343358,0.6
"CHEMBL2363452",0.6140350877,0.5652173913,0.6015037594
"CHEMBL2363171",0.875,0.625,0.5362318841
"CHEMBL2363445",0.6985294118,0.525,0.6153846154
"CHEMBL2363319",0.7962962963,0.5632754342,0.6616161616
"CHEMBL2363559",0.6965811966,0.5726495726,0.6875
"CHEMBL2363796",0.6199095023,0.4833333333,0.6
"CHEMBL2363214",0.6544117647,0.5333333333,0.5848214286
"CHEMBL2363377",0.5625,0.6099071207,0.5823529412
"CHEMBL2363370",0.6933333333,0.391025641,0.5642857143
"CHEMBL2363454",0.6315789474,0.6336996337,0.5
"CHEMBL1614231",0.496031746,0.5533333333,0.4756944444
"CHEMBL2363425",0.7105263158,0.3939393939,0.6617647059
"CHEMBL2363831",0.7041666667,0.6533333333,0.6263157895
"CHEMBL1614216",0.5755755756,0.5772669221,0.5068027211
"CHEMBL2363644",0.630952381,0.4291187739,0.7443181818
"CHEMBL2363166",0.6222222222,0.5944055944,0.625
"CHEMBL2363446",0.6691176471,0.7,0.5791855204
"CHEMBL2363470",0.6157407407,0.6653061224,0.6666666667
"CHEMBL1613814",0.7391304348,0.8349007315,0.5903846154
"CHEMBL2363645",0.6590909091,0.489010989,0.6421568627
"CHEMBL1738021",0.5571428571,0.5813953488,0.54375
"CHEMBL2363516",0.6618181818,0.6300940439,0.6772727273
"CHEMBL1614147",0.6589147287,0.18,0.7
"CHEMBL2363492",0.5833333333,0.350877193,0.7248677249
"CHEMBL2363696",0.6039215686,0.5952380952,0.623015873
"CHEMBL1614486",0.546875,0.5123966942,0.6825396825
"CHEMBL2363847",0.7132867133,0.6246334311,0.7037037037
"CHEMBL2363719",0.5,0.4821428571,0.404040404
"CHEMBL2363634",0.709375,0.6342105263,0.6962962963
"CHEMBL2363569",0.7122807018,0.5706371191,0.5791666667
"CHEMBL2363294",0.550877193,0.4888888889,0.5803571429
"CHEMBL2363616",0.6205882353,0.6737967914,0.5714285714
"CHEMBL2363601",0.6176470588,0.6181818182,0.6383928571
"CHEMBL2363514",0.7288888889,0.5555555556,0.735042735
"CHEMBL2363748",0.7111111111,0.7777777778,0.6807692308
"CHEMBL2363747",0.5535714286,0.6164772727,0.7076923077
"CHEMBL2363457",0.6031746032,0.5621118012,0.6651785714
"CHEMBL1613949",0.5314814815,0.514041514,0.592476489
"CHEMBL2363767",0.6278195489,0.5714285714,0.6648351648
"CHEMBL2363793",0.65,0.7797202797,0.5470588235
"CHEMBL2363692",0.5277777778,0.4494117647,0.71875
"CHEMBL2363639",0.6580882353,0.5882352941,0.6066176471
"CHEMBL2363421",0.6820276498,0.5128205128,0.8405797101
"CHEMBL2363313",0.6833333333,0.7053571429,0.5779220779
"CHEMBL2363798",0.6454545455,0.6678571429,0.6877828054
"CHEMBL2363272",0.6166666667,0.5592105263,0.6476190476
"CHEMBL2363447",0.6666666667,0.5851648352,0.5941558442
"CHEMBL2363749",0.5919117647,0.3839009288,0.625
"CHEMBL1738438",0.2909090909,0.8372093023,0.3720930233
"CHEMBL2114847",0.4603658537,0.6044444444,0.4215686275
"CHEMBL2363388",0.6140350877,0.5818181818,0.4660633484
"CHEMBL1614035",0.6753246753,0.9365079365,0.8977272727
"CHEMBL2363830",0.5745614035,0.3720238095,0.6954545455
"CHEMBL2363255",0.8043478261,0.6836734694,0.6555555556
"CHEMBL2363562",0.6907894737,0.4922600619,0.7333333333
"CHEMBL2363335",0.7802197802,0.6909722222,0.6574074074
"CHEMBL2363338",0.6060606061,0.5126262626,0.6523809524
"CHEMBL1614395",0.5132275132,0.6045454545,0.4087912088
"CHEMBL2363334",0.6811594203,0.7046783626,0.7013888889
"CHEMBL1614007",0.827027027,0.6176470588,0.6545454545
"CHEMBL1614049",0.5609756098,0.6230677765,0.6340996169
"CHEMBL1034535",0.8484848485,0.725,0.8115942029
"CHEMBL1613853",0.33984375,0.4989648033,0.6617647059
"CHEMBL1614138",0.6296296296,0.5604166667,0.6875
"CHEMBL2363814",0.7406015038,0.4664031621,0.715
"CHEMBL2363245",0.7454545455,0.5182186235,0.6464285714
"CHEMBL2363349",0.6160714286,0.5384615385,0.7638888889
"CHEMBL2363794",0.7443181818,0.5828402367,0.7357142857
"CHEMBL856174",0.1351351351,0.3492063492,0.25
"CHEMBL1964005",0.7230769231,0.6973684211,0.8362068966
"CHEMBL1963983",0.75,0.6543209877,0.7117647059
"CHEMBL2363215",0.5680272109,0.458041958,0.5837104072
"CHEMBL1613890",0.4361111111,0.6296296296,0.6291560102
"CHEMBL1614363",0.6823529412,0.812962963,0.670112782
"CHEMBL1022010",0.8522727273,0.5,0.6818181818
"CHEMBL1613962",0.6038961039,0.5566939891,0.225
"CHEMBL1614244",0.5989583333,0.4970760234,0.61
"CHEMBL2363764",0.9631336406,0.5673981191,0.6893939394
"CHEMBL1614405",0.4285714286,0.5138888889,0.6013986014
"CHEMBL1613926",0.768115942,0.582,0.3583333333
"CHEMBL1614492",0.5540935673,0.5,0.5577777778
"CHEMBL2363716",0.6806722689,0.4965277778,0.5254901961
"CHEMBL1243972",0.694092827,0.6086956522,0.5625
"CHEMBL1614053",0.5264550265,0.568452381,0.525
"CHEMBL829401",0.6052631579,0.8068181818,0.5135135135
"CHEMBL2363167",0.619047619,0.684729064,0.7935222672
"CHEMBL2363592",0.6560846561,0.5588235294,0.9087301587
"CHEMBL2363599",0.6273291925,0.5980148883,0.6931818182
"CHEMBL1613942",0.5758513932,0.6302083333,0.5617647059
"CHEMBL1614463",0.5539772727,0.5287356322,0.3657407407
"CHEMBL1614132",0.5623376623,0.5380434783,0.6651785714
"CHEMBL2363633",0.6603174603,0.6561264822,0.6490384615
"CHEMBL1963934",0.6810344828,0.5128205128,0.6612903226
"CHEMBL2363557",0.6433333333,0.6762820513,0.7132352941
"CHEMBL1614283",0.7637362637,0.7278106509,0.7450980392
"CHEMBL1614548",0.6203703704,0.6428571429,0.7727272727
"CHEMBL2363458",0.5884057971,0.5672727273,0.5494071146
"CHEMBL2354217",0.4173486088,0.625,0.5434782609
"CHEMBL1738633",0.6382978723,0.4,0.5533333333
"CHEMBL1613950",0.5454545455,0.602006689,0.5958333333
"CHEMBL2114928",0.3596491228,0.5,0.5040431267
"CHEMBL2363385",0.6743421053,0.5446428571,0.6554621849
"CHEMBL1614066",0.3571428571,1,0.4488888889
"CHEMBL1614109",0.7242424242,0.674556213,0.5733333333
"CHEMBL1737868",0.7674418605,0.7542735043,0.75
"CHEMBL1614477",0.6315789474,0.3942307692,0.5444444444
"CHEMBL1794460",0.4603174603,0.6420940171,0.6828358209
